Chỉ số,Quý,Giá trị gốc,Trend,Seasonal,Residual
ROA (%),Q1/2010,3.6881,3.6613,-0.1161,0.1428
ROA (%),Q2/2010,4.4007,3.6278,0.8583,-0.0854
ROA (%),Q3/2010,3.039,3.6017,-0.5614,-0.0013
ROA (%),Q4/2010,3.4291,3.5857,-0.0613,-0.0953
ROA (%),Q1/2011,3.2754,3.597,-0.177,-0.1446
ROA (%),Q2/2011,4.4432,3.6194,0.6914,0.1324
ROA (%),Q3/2011,3.8182,3.6293,-0.5071,0.696
ROA (%),Q4/2011,3.8582,3.6266,0.1027,0.1289
ROA (%),Q1/2012,3.2259,3.6068,-0.2309,-0.15
ROA (%),Q2/2012,3.6759,3.5718,0.5317,-0.4276
ROA (%),Q3/2012,3.076,3.5478,-0.4493,-0.0225
ROA (%),Q4/2012,3.8161,3.5309,0.247,0.0382
ROA (%),Q1/2013,3.3763,3.4948,-0.2734,0.1549
ROA (%),Q2/2013,3.764,3.4192,0.374,-0.0292
ROA (%),Q3/2013,2.9608,3.3023,-0.3923,0.0507
ROA (%),Q4/2013,3.072,3.1775,0.351,-0.4564
ROA (%),Q1/2014,2.7568,3.0547,-0.2393,-0.0586
ROA (%),Q2/2014,3.1377,2.9392,0.1962,0.0023
ROA (%),Q3/2014,2.5255,2.8524,-0.3113,-0.0157
ROA (%),Q4/2014,2.355,2.7615,0.3974,-0.8038
ROA (%),Q1/2015,2.4649,2.6708,-0.2751,0.0692
ROA (%),Q2/2015,2.615,2.5906,0.0774,-0.053
ROA (%),Q3/2015,2.1929,2.5289,-0.2223,-0.1137
ROA (%),Q4/2015,3.0047,2.5073,0.4842,0.0132
ROA (%),Q1/2016,1.8081,2.506,-0.2903,-0.4077
ROA (%),Q2/2016,2.4865,2.5042,-0.0016,-0.0161
ROA (%),Q3/2016,2.5285,2.4844,-0.106,0.1501
ROA (%),Q4/2016,2.7799,2.4564,0.3442,-0.0208
ROA (%),Q1/2017,1.9295,2.4336,-0.2718,-0.2323
ROA (%),Q2/2017,2.3906,2.4465,-0.0105,-0.0455
ROA (%),Q3/2017,2.5057,2.5375,0.042,-0.0738
ROA (%),Q4/2017,6.2627,2.6534,0.2124,3.3968
ROA (%),Q1/2018,2.6099,2.7801,-0.289,0.1188
ROA (%),Q2/2018,2.8876,2.8998,0.0311,-0.0433
ROA (%),Q3/2018,3.1704,2.969,0.102,0.0994
ROA (%),Q4/2018,3.1166,3.0166,0.1062,-0.0062
ROA (%),Q1/2019,2.7616,3.0291,-0.239,-0.0285
ROA (%),Q2/2019,3.2466,2.9899,0.0408,0.2159
ROA (%),Q3/2019,3.593,2.9749,0.1217,0.4964
ROA (%),Q4/2019,2.8875,2.9621,0.0591,-0.1337
ROA (%),Q1/2020,2.7224,2.9284,-0.2171,0.0111
ROA (%),Q2/2020,3.019,2.9237,0.0225,0.0729
ROA (%),Q3/2020,3.0421,2.9056,0.1314,0.0051
ROA (%),Q4/2020,3.0003,2.8634,0.0678,0.069
ROA (%),Q1/2021,2.5873,2.8186,-0.1788,-0.0524
ROA (%),Q2/2021,2.6813,2.7927,-0.0393,-0.0722
ROA (%),Q3/2021,2.8492,2.7891,0.1208,-0.0606
ROA (%),Q4/2021,2.9049,2.8163,0.0817,0.0068
ROA (%),Q1/2022,2.7671,2.8744,-0.1145,0.0072
ROA (%),Q2/2022,2.7739,2.943,-0.098,-0.0712
ROA (%),Q3/2022,3.1854,3.0072,0.1158,0.0624
ROA (%),Q4/2022,3.136,3.0661,0.0623,0.0075
ROA (%),Q1/2023,3.5667,3.1318,-0.064,0.4989
ROA (%),Q2/2023,3.0658,3.1995,-0.0958,-0.0378
ROA (%),Q3/2023,3.3421,3.2731,0.1049,-0.036
ROA (%),Q4/2023,3.4003,3.369,0.0186,0.0126
ROA (%),Q1/2024,3.4829,3.452,-0.0131,0.044
ROA (%),Q2/2024,3.5041,3.5031,-0.0921,0.0931
ROA (%),Q3/2024,3.6676,3.522,0.0897,0.0559
ROA (%),Q4/2024,3.4734,3.5129,-0.0226,-0.0169
ROA (%),Q1/2025,3.5076,3.4898,0.0372,-0.0193
ROA (%),Q2/2025,3.372,3.4685,-0.0825,-0.0141
ROA (%),Q3/2025,3.5069,3.4477,0.0729,-0.0137
ROA (%),Q4/2025,3.3922,3.428,-0.0645,0.0287
ROE (%),Q1/2010,11.6717,12.0669,-0.5407,0.1454
ROE (%),Q2/2010,13.6644,11.6523,2.1575,-0.1454
ROE (%),Q3/2010,9.8153,11.2433,-1.4317,0.0037
ROE (%),Q4/2010,10.766,10.8441,-0.0206,-0.0575
ROE (%),Q1/2011,9.739,10.4844,-0.5899,-0.1555
ROE (%),Q2/2011,12.0471,10.0512,1.7528,0.2431
ROE (%),Q3/2011,9.8994,9.5542,-1.1325,1.4778
ROE (%),Q4/2011,10.4833,9.1628,0.126,1.1945
ROE (%),Q1/2012,7.859,8.7443,-0.6349,-0.2504
ROE (%),Q2/2012,8.6956,8.3578,1.3549,-1.0172
ROE (%),Q3/2012,7.3452,8.2185,-0.8361,-0.0371
ROE (%),Q4/2012,8.8096,8.0313,0.265,0.5133
ROE (%),Q1/2013,7.2705,7.8094,-0.659,0.1202
ROE (%),Q2/2013,8.3593,7.5729,0.9358,-0.1494
ROE (%),Q3/2013,6.7367,7.3399,-0.5465,-0.0567
ROE (%),Q4/2013,7.5069,7.1415,0.465,-0.0996
ROE (%),Q1/2014,6.3501,6.9769,-0.7286,0.1018
ROE (%),Q2/2014,7.3468,6.804,0.5768,-0.034
ROE (%),Q3/2014,6.6029,6.5713,-0.2388,0.2703
ROE (%),Q4/2014,6.7464,6.2628,0.469,0.0146
ROE (%),Q1/2015,6.5309,5.9286,-0.8501,1.4525
ROE (%),Q2/2015,5.9502,5.6073,0.4046,-0.0618
ROE (%),Q3/2015,5.2068,5.4204,0.0141,-0.2278
ROE (%),Q4/2015,7.6705,5.3617,0.5982,1.7106
ROE (%),Q1/2016,4.1953,5.4027,-0.9617,-0.2457
ROE (%),Q2/2016,5.776,5.4672,0.2554,0.0535
ROE (%),Q3/2016,6.0882,5.5014,0.2208,0.366
ROE (%),Q4/2016,7.2635,5.5109,0.4723,1.2803
ROE (%),Q1/2017,4.5102,5.4896,-0.987,0.0076
ROE (%),Q2/2017,5.5181,5.4225,0.1515,-0.0559
ROE (%),Q3/2017,5.7085,5.4266,0.4004,-0.1185
ROE (%),Q4/2017,11.8417,5.4594,0.4174,5.9649
ROE (%),Q1/2018,4.6962,5.5344,-0.9028,0.0646
ROE (%),Q2/2018,5.4663,5.6362,0.0768,-0.2468
ROE (%),Q3/2018,6.285,5.7458,0.392,0.1472
ROE (%),Q4/2018,6.2754,5.8763,0.4126,-0.0135
ROE (%),Q1/2019,5.1113,6.0208,-0.8082,-0.1013
ROE (%),Q2/2019,6.2394,6.0564,0.0089,0.1742
ROE (%),Q3/2019,7.1362,6.0584,0.3135,0.7643
ROE (%),Q4/2019,5.7595,6.0896,0.4457,-0.7758
ROE (%),Q1/2020,5.3144,6.0788,-0.6884,-0.0761
ROE (%),Q2/2020,6.0558,6.0784,-0.0594,0.0369
ROE (%),Q3/2020,6.3176,6.162,0.2353,-0.0797
ROE (%),Q4/2020,6.7334,6.2519,0.4697,0.0118
ROE (%),Q1/2021,5.8322,6.3582,-0.518,-0.0081
