WACC,g=1.0%,g=1.5%,g=2.0%,g=2.5%,g=3.0%,g=3.5%,g=4.0%,g=4.5%,g=5.0%
5.4%,16495.0,22644.0,30578.0,41208.0,56188.0,78876.0,117281.0,196388.0,453847.0
5.9%,10639.0,15452.0,21486.0,29272.0,39702.0,54402.0,76664.0,114349.0,191973.0
6.4%,5855.0,9710.0,14433.0,20354.0,27995.0,38231.0,52656.0,74503.0,111485.0
6.9%,1870.0,5018.0,8802.0,13437.0,19248.0,26747.0,36793.0,50950.0,72392.0
7.4%,-1499.0,1111.0,4200.0,7914.0,12464.0,18167.0,25527.0,35387.0,49283.0
7.9%,-4387.0,-2194.0,367.0,3400.0,7045.0,11512.0,17110.0,24335.0,34014.0
8.4%,-6890.0,-5027.0,-2874.0,-359.0,2617.0,6196.0,10581.0,16077.0,23169.0
8.9%,-9081.0,-7482.0,-5653.0,-3539.0,-1070.0,1852.0,5366.0,9670.0,15066.0
9.4%,-11015.0,-9631.0,-8061.0,-6265.0,-4190.0,-1766.0,1104.0,4554.0,8780.0
9.9%,-12736.0,-11529.0,-10169.0,-8628.0,-6864.0,-4826.0,-2446.0,372.0,3759.0
