Quarter,PE_Ratio,EPS,is_forward,PE_Mean,PE_Upper,PE_Lower,PE_Median,PE_Band_Position
Q1/2010,11.7,2016.84,False,20.84,26.99,14.69,19.97,-0.24
Q2/2010,10.36,2005.89,False,20.84,26.99,14.69,19.97,-0.35
Q3/2010,9.61,1452.54,False,20.84,26.99,14.69,19.97,-0.41
Q4/2010,9.6,1570.33,False,20.84,26.99,14.69,19.97,-0.41
Q1/2011,7.92,1533.11,False,20.84,26.99,14.69,19.97,-0.55
Q2/2011,7.4,2147.28,False,20.84,26.99,14.69,19.97,-0.59
Q3/2011,6.66,2375.6,False,20.84,26.99,14.69,19.97,-0.65
Q4/2011,7.24,2141.52,False,20.84,26.99,14.69,19.97,-0.6
Q1/2012,7.22,1576.39,False,20.84,26.99,14.69,19.97,-0.61
Q2/2012,5.35,1505.72,False,20.84,26.99,14.69,19.97,-0.76
Q3/2012,6.67,1235.73,False,20.84,26.99,14.69,19.97,-0.65
Q4/2012,6.7,1639.42,False,20.84,26.99,14.69,19.97,-0.65
Q1/2013,7.55,1308.47,False,20.84,26.99,14.69,19.97,-0.58
Q2/2013,7.85,1616.22,False,20.84,26.99,14.69,19.97,-0.56
Q3/2013,8.67,1201.26,False,20.84,26.99,14.69,19.97,-0.49
Q4/2013,12.04,1722.41,False,20.84,26.99,14.69,19.97,-0.21
Q1/2014,10.65,1313.64,False,20.84,26.99,14.69,19.97,-0.33
Q2/2014,11.22,1243.07,False,20.84,26.99,14.69,19.97,-0.28
Q3/2014,10.1,1131.18,False,20.84,26.99,14.69,19.97,-0.37
Q4/2014,10.45,1309.77,False,20.84,26.99,14.69,19.97,-0.34
Q1/2015,11.08,1234.56,False,20.84,26.99,14.69,19.97,-0.29
Q2/2015,11.85,1148.67,False,20.84,26.99,14.69,19.97,-0.23
Q3/2015,10.81,978.7,False,20.84,26.99,14.69,19.97,-0.32
Q4/2015,10.01,1666.18,False,20.84,26.99,14.69,19.97,-0.38
Q1/2016,10.13,869.59,False,20.84,26.99,14.69,19.97,-0.37
Q2/2016,10.44,1123.15,False,20.84,26.99,14.69,19.97,-0.34
Q3/2016,10.29,1018.25,False,20.84,26.99,14.69,19.97,-0.36
Q4/2016,10.72,1439.05,False,20.84,26.99,14.69,19.97,-0.32
Q1/2017,12.49,898.73,False,20.84,26.99,14.69,19.97,-0.18
Q2/2017,12.94,963.7,False,20.84,26.99,14.69,19.97,-0.14
Q3/2017,15.64,1097.33,False,20.84,26.99,14.69,19.97,0.08
Q4/2017,10.32,2673.73,False,20.84,26.99,14.69,19.97,-0.35
Q1/2018,8.76,958.66,False,20.84,26.99,14.69,19.97,-0.48
Q2/2018,8.07,968.46,False,20.84,26.99,14.69,19.97,-0.54
Q3/2018,8.14,1181.35,False,20.84,26.99,14.69,19.97,-0.53
Q4/2018,11.6,1281.64,False,20.84,26.99,14.69,19.97,-0.25
Q1/2019,11.83,1020.64,False,20.84,26.99,14.69,19.97,-0.23
Q2/2019,13.34,1167.09,False,20.84,26.99,14.69,19.97,-0.11
Q3/2019,12.08,1415.34,False,20.84,26.99,14.69,19.97,-0.21
Q4/2019,10.97,1116.27,False,20.84,26.99,14.69,19.97,-0.3
Q1/2020,10.68,1095.86,False,20.84,26.99,14.69,19.97,-0.33
Q2/2020,12.34,1120.82,False,20.84,26.99,14.69,19.97,-0.19
Q3/2020,15.83,1184.82,False,20.84,26.99,14.69,19.97,0.09
Q4/2020,18.39,1253.65,False,20.84,26.99,14.69,19.97,0.3
Q1/2021,22.79,1155.81,False,20.84,26.99,14.69,19.97,0.66
Q2/2021,22.77,1101.9,False,20.84,26.99,14.69,19.97,0.66
Q3/2021,19.5,1239.42,False,20.84,26.99,14.69,19.97,0.39
Q4/2021,23.21,1434.1,False,20.84,26.99,14.69,19.97,0.69
Q1/2022,19.91,1365.08,False,20.84,26.99,14.69,19.97,0.42
Q2/2022,15.78,1140.19,False,20.84,26.99,14.69,19.97,0.09
Q3/2022,17.44,1325.14,False,20.84,26.99,14.69,19.97,0.22
Q4/2022,16.38,1232.06,False,20.84,26.99,14.69,19.97,0.14
Q1/2023,18.01,1361.46,False,20.84,26.99,14.69,19.97,0.27
Q2/2023,20.02,1366.64,False,20.84,26.99,14.69,19.97,0.43
Q3/2023,19.73,1369.59,False,20.84,26.99,14.69,19.97,0.41
Q4/2023,21.62,1360.98,False,20.84,26.99,14.69,19.97,0.56
Q1/2024,27.56,1415.81,False,20.84,26.99,14.69,19.97,1.05
Q2/2024,27.45,1283.96,False,20.84,26.99,14.69,19.97,1.04
Q3/2024,29.97,1430.28,False,20.84,26.99,14.69,19.97,1.24
Q4/2024,20.56,1423.95,False,20.84,26.99,14.69,19.97,0.48
Q1/2025,23.01,1478.04,False,20.84,26.99,14.69,19.97,0.68
Q2/2025,18.66,1523.94,False,20.84,26.99,14.69,19.97,0.32
Q3/2025,18.65,1429.31,False,20.84,26.99,14.69,19.97,0.32
Q4/2025,13.77,1469.15,False,20.84,26.99,14.69,19.97,-0.07
Q1/2026,19.97,1478.0,True,20.84,26.99,14.69,19.97,0.5
Q2/2026,19.97,1488.0,True,20.84,26.99,14.69,19.97,0.5
Q3/2026,19.97,1497.0,True,20.84,26.99,14.69,19.97,0.5
Q4/2026,19.97,1507.0,True,20.84,26.99,14.69,19.97,0.5
