NGÀY,GIÁ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,GIÁ TB,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,OUTLIER_BLOCK_TRADE,LOG_RETURN,VOLATILITY_30D,MONTH
2018-03-06,16556.4435962006,1800,0.02926829,16347.199443326,16556.4435962006,16137.9552904515,62605.4299836278,2577540,161368000000,0,0,2577540,161368000000,0,,,3
2018-03-07,16268.7328859979,-1100,-0.01737757,16608.7546344192,16661.065672638,16085.6442522328,62453.19709459561,2000410,124932000000,534000,35940600000,2534410,160872600000,0,-0.017530329405006605,,3
2018-03-08,16268.7328859979,0,0.0,16216.4218477794,16347.199443326,16033.3332140143,61984.65745101018,1316600,81609000000,500000,33250000000,1816600,114859000000,0,0.0,,3
2018-03-09,16111.7997713422,-600,-0.0096463,16399.5104815446,16504.132557982,16085.6442522328,62130.815457283614,2068410,128512000000,550000,36575000000,2618410,165087000000,0,-0.009693129205645556,,3
2018-03-12,16059.4887331236,-200,-0.00324675,16216.4218477794,16373.3549624354,16059.4887331236,61920.86889061288,1611250,99770000000,30000,1719000000,1641250,101489000000,0,-0.0032520353863745586,,3
2018-03-13,15719.4669847023,-1300,-0.02117264,16007.1776949049,16007.1776949049,15536.378350937,60124.24062485726,4159670,250097000000,850000,55760000000,5009670,305857000000,0,-0.021399993611942378,,3
2018-03-14,15902.5556184674,700,0.01164725,15719.4669847023,15902.5556184674,15536.378350937,60229.539712978745,2070230,124689000000,20000,1286000000,2090230,125975000000,0,0.011579947430949979,,3
2018-03-15,15850.2445802489,-200,-0.00328947,15954.8666566862,15981.0221757956,15771.7780229209,60695.51764438802,1189330,72187000000,0,0,1189330,72187000000,0,-0.0032948958968436266,,3
2018-03-16,15719.4669847023,-500,-0.00825083,15850.2445802489,15902.5556184674,15614.8449082649,60118.85989810007,1426890,85783000000,120000,7356000000,1546890,93139000000,0,-0.008285051534106358,,3
2018-03-19,15824.0890611396,400,0.00665557,15745.6225038118,15850.2445802489,15667.1559464837,60243.36068087143,1337110,80552000000,0,0,1337110,80552000000,0,0.0066335234956347595,,3
2018-03-20,16033.3332140143,800,0.01322314,15745.6225038118,16294.8884051076,15693.311465593,61721.95903390109,2921440,180317000000,0,0,2921440,180317000000,0,0.013136477905377652,,3
2018-03-21,15954.8666566862,-300,-0.00489396,16033.3332140143,16164.1108095608,15954.8666566862,61418.55183247121,999470,61386000000,0,0,999470,61386000000,0,-0.004905978768862886,,3
2018-03-22,15719.4669847023,-900,-0.0147541,15954.8666566862,16059.4887331236,15719.4669847023,60720.61102501661,1264760,76797000000,38580,2515416000,1303340,79312416000,0,-0.014864022632149618,,3
2018-03-23,15327.1341980625,-1500,-0.0249584,15431.7562744998,15588.6893891557,15170.2010834066,58865.358351537056,2833670,166805000000,536852,34519583600,3370522,201324583600,0,-0.025275144958193347,,3
2018-03-26,15484.0673127183,600,0.01023891,15327.1341980625,15536.378350937,15327.1341980625,59011.09646698695,940840,55520000000,20000,1090000000,960840,56610000000,0,0.010186845306984646,,3
2018-03-27,15562.5338700464,300,0.00506757,15667.1559464837,15719.4669847023,15431.7562744998,59567.48484787468,993260,59166000000,1759520,111377616000,2752780,170543616000,0,0.005054770661632891,,3
2018-03-28,15405.6007553905,-600,-0.01008403,15457.9117936092,15536.378350937,15379.4452362813,59074.25352795106,660440,39015000000,9196500,584897400000,9856940,623912400000,1,-0.010135221894041112,,3
2018-03-29,15562.5338700464,600,0.01018676,15536.378350937,15614.8449082649,15431.7562744998,59422.44463784934,827280,49159000000,1500000,94500000000,2327280,143659000000,0,0.01013522189404117,,3
2018-03-30,15876.4000993583,1200,0.02016807,15588.6893891557,16033.3332140143,15536.378350937,60576.71377467832,2434830,147494000000,5080620,323019432000,7515450,470513432000,1,0.019967385513871044,,3
2018-04-02,16085.6442522328,800,0.01317957,16085.6442522328,16137.9552904515,15954.8666566862,61390.45570935202,2194820,134741000000,350000,22715000000,2544820,157456000000,0,0.013093476747015002,,4
2018-04-03,16007.1776949049,-300,-0.00487805,16007.1776949049,16059.4887331236,15928.7111375769,61148.17184883894,1140770,69756000000,570000,37506000000,1710770,107262000000,0,-0.004889985294187776,,4
2018-04-04,16137.9552904515,500,0.00816993,16216.4218477794,16425.666000654,16111.7997713422,62218.063926543226,2297950,142974000000,0,0,2297950,142974000000,0,0.008136741393061264,,4
2018-04-05,16477.9770388728,1300,0.02106969,16216.4218477794,16661.065672638,16085.6442522328,62667.61768901569,2874100,180113000000,605000,38100000000,3479100,218213000000,0,0.020850795480197533,,4
2018-04-06,16399.5104815446,-300,-0.0047619,16791.8432681844,16817.998787294,16399.5104815446,63603.51386871412,3614250,229879000000,170000,11458000000,3784250,241337000000,0,-0.004773278752671938,,4
2018-04-09,16582.5991153099,700,0.01116427,16373.3549624354,16634.9101535287,16373.3549624354,63202.881088529575,1502210,94944000000,0,0,1502210,94944000000,0,0.011102413804308178,,4
2018-04-10,16844.1543064031,1000,0.01577287,16634.9101535287,17053.3984592777,16608.7546344192,64340.391224073,4490010,288889000000,298500,20201250000,4788510,309090250000,0,0.015649771667126722,,4
2018-04-11,16477.9770388728,-1400,-0.02173913,16948.7763828406,17105.7094974964,16477.9770388728,64110.132599601384,3296390,211332000000,725000,49952500000,4021390,261284500000,0,-0.021978906718762972,,4
2018-04-12,16634.9101535287,600,0.00952381,16477.9770388728,16634.9101535287,16242.5773668888,63007.62237815171,1321110,83240000000,0,0,1321110,83240000000,0,0.00947874395454198,,4
2018-04-13,16216.4218477794,-1600,-0.02515723,16713.3767108565,16713.3767108565,16216.4218477794,62615.8167614629,2146710,134418000000,200000,13600000000,2346710,148018000000,0,-0.02547908530099424,,4
2018-04-16,15981.0221757956,-900,-0.01451613,16216.4218477794,16321.0439242168,15928.7111375769,61372.50751449981,1181050,72484000000,0,0,1181050,72484000000,0,-0.014622518867535956,,4
2018-04-17,16216.4218477794,900,0.01472995,16085.6442522328,16216.4218477794,15928.7111375769,61450.05701047907,1105060,67906000000,819130,46608497000,1924190,114514497000,0,0.014622518867536054,0.22137998890706878,4
2018-04-18,16216.4218477794,0,0.0,16294.8884051076,16451.8215197634,16190.2663286701,62413.8096917995,1247240,77845000000,180000,11934000000,1427240,89779000000,0,0.0,0.21554670462072226,4
2018-04-19,15876.4000993583,-1300,-0.02096774,16216.4218477794,16242.5773668888,15876.4000993583,61151.51489658828,2377390,145381000000,0,0,2377390,145381000000,0,-0.021190686979633902,0.22403755368455383,4
