Chỉ_tiêu,Báo_cáo,Mẫu_số,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024,Q1/2025,Q2/2025,Q3/2025,Q4/2025
Tiền và tương đương,BCĐKT,Tổng tài sản,12.81,14.9,13.75,12.15,15.58,14.35,17.68,19.3,15.25,14.48,19.01,16.02,13.72,13.89,14.59,14.12,17.9,13.47,20.59,18.99,17.99,13.25,12.74,13.8,13.89,15.29,17.71,18.49,14.41,16.32,17.59,13.91,12.3,15.45,14.18,13.21,9.32,10.14,10.01,10.27,11.31,11.64,11.41,11.22,11.61,10.6,11.29,10.09,8.68,9.27,6.78,12.47,6.48,10.3,11.52,13.72,10.22,10.47,11.74,12.94,9.13,12.33,11.91,11.97
Hàng tồn kho,BCĐKT,Tổng tài sản,20.48,16.15,17.1,19.5,19.37,17.07,19.28,21.73,23.55,21.31,17.85,18.97,21.39,19.38,18.07,19.2,20.12,20.13,19.97,20.18,21.78,21.3,20.01,20.32,20.61,18.52,16.91,15.15,17.27,14.9,14.8,4.01,4.72,4.85,5.5,4.51,5.1,4.97,4.42,3.82,3.52,3.62,3.43,3.09,3.68,3.94,4.05,2.81,3.31,3.92,3.97,3.81,4.11,3.35,2.83,2.64,2.99,2.89,3.05,2.58,2.85,2.55,2.48,2.46
Tài sản cố định,BCĐKT,Tổng tài sản,15.03,16.35,16.51,16.3,15.97,16.21,14.8,14.55,15.13,15.06,14.99,18.34,19.52,18.03,18.71,17.33,18.11,18.94,16.79,16.94,17.98,19.39,20.18,16.67,17.76,17.7,16.94,15.32,15.97,16.94,16.52,21.04,20.75,20.61,19.95,21.91,23.27,22.76,22.26,22.26,21.3,20.51,19.17,19.92,18.83,17.65,17.5,19.37,19.0,18.89,20.65,23.29,23.62,20.21,21.35,22.62,22.27,21.72,21.37,20.58,21.01,20.59,20.54,19.67
Phải thu ngắn hạn,BCĐKT,Tổng tài sản,22.8,24.08,25.77,26.95,26.32,26.01,24.5,25.53,24.68,23.03,22.73,26.87,24.02,25.09,25.88,25.14,23.78,25.04,23.72,22.21,22.1,23.85,22.29,22.02,20.07,21.08,21.9,22.78,21.12,24.3,24.64,24.62,22.83,20.66,20.32,21.61,20.43,21.24,20.19,19.37,19.14,16.16,15.71,15.0,13.61,14.21,13.79,12.82,13.73,13.31,14.85,16.47,18.32,14.88,15.81,15.8,16.21,16.84,17.57,15.81,16.21,15.41,15.81,16.35
TÀI SẢN NGẮN HẠN,BCĐKT,Tổng tài sản,73.5,73.68,73.4,70.62,73.04,72.46,75.06,75.94,74.66,74.89,75.13,72.05,70.46,72.63,71.74,73.53,72.61,71.65,74.44,74.86,73.49,71.92,71.07,73.93,70.71,70.24,71.65,73.82,72.36,72.1,73.31,64.15,63.54,63.75,62.18,61.81,58.85,58.76,57.11,56.56,56.88,58.4,59.52,61.34,62.75,63.08,63.54,65.4,65.86,66.01,63.98,59.89,58.19,64.04,63.65,60.85,60.75,62.55,63.04,63.24,62.27,64.86,64.82,65.96
NỢ NGẮN HẠN,BCĐKT,Tổng nguồn vốn,42.31,42.26,43.4,42.48,41.89,37.69,41.25,55.22,50.85,49.05,49.14,45.57,44.71,46.19,46.97,51.51,48.22,48.41,53.5,57.65,53.33,54.64,54.93,56.98,52.43,52.5,54.35,58.41,52.98,52.55,53.11,44.47,42.08,45.28,47.58,48.55,44.21,46.47,47.73,48.4,46.02,47.31,49.13,53.61,51.64,53.19,53.67,55.52,54.2,54.03,52.06,47.5,45.41,51.69,53.21,49.18,46.81,48.02,45.83,48.38,45.84,46.37,43.86,47.17
NỢ PHẢI TRẢ,BCĐKT,Tổng nguồn vốn,60.68,60.15,60.44,59.39,57.1,53.17,55.2,56.76,52.66,50.95,51.19,50.42,46.4,47.85,48.76,53.15,49.93,50.01,55.09,59.16,55.67,56.05,57.88,60.83,56.9,56.95,58.47,61.73,57.22,56.68,56.11,47.11,44.42,47.18,49.56,50.34,45.97,47.97,49.65,49.86,48.77,50.15,51.85,55.44,55.64,57.31,57.87,60.11,58.71,58.41,56.36,50.94,46.67,52.75,54.27,50.36,48.85,49.86,47.67,50.38,48.79,50.94,48.23,50.33
VỐN CHỦ SỞ HỮU,BCĐKT,Tổng nguồn vốn,31.6,32.21,30.96,31.85,33.63,36.88,38.57,36.8,41.05,42.27,41.88,43.32,46.44,45.03,43.95,40.92,43.41,42.71,38.25,34.91,37.74,43.95,42.12,39.17,43.1,43.05,41.53,38.27,42.78,43.32,43.89,52.89,55.58,52.82,50.44,49.66,54.03,52.03,50.35,50.14,51.23,49.85,48.15,44.56,44.36,42.69,42.13,39.89,41.29,41.59,43.64,49.06,53.33,47.25,45.73,49.64,51.15,50.14,52.33,49.62,51.21,49.06,51.77,49.67
Giá vốn,KQKD,Doanh thu thuần,-87.38,-88.88,-91.05,-87.28,-88.52,-86.16,-87.73,-87.98,-87.46,-87.11,-88.45,-84.75,-86.01,-85.2,-88.62,-85.26,-87.22,-85.07,-87.69,-88.04,-79.38,-79.4,-78.25,-79.13,-77.91,-76.25,-75.66,-76.2,-76.43,-74.49,-76.68,-76.18,-60.86,-63.39,-61.85,-62.81,-59.72,-62.16,-60.54,-61.98,-60.29,-60.86,-60.09,-59.72,-61.69,-60.3,-63.02,-61.69,-59.36,-61.93,-60.9,-59.76,-60.89,-62.88,-60.06,-61.64,-60.9,-62.93,-61.0,-63.62,-60.73,-63.65,-62.03,-65.01
Chi phí bán hàng,KQKD,Doanh thu thuần,-2.81,-2.61,-2.74,-2.92,-1.43,-2.04,-2.21,-1.87,-1.86,-2.17,-2.4,-3.09,-2.95,-3.17,-2.86,-4.22,-3.16,-3.61,-3.07,-3.52,-5.97,-5.52,-6.06,-4.78,-6.87,-6.24,-7.01,-6.66,-7.59,-7.16,-6.89,-6.86,-8.89,-8.25,-8.39,-9.54,-8.61,-8.29,-7.83,-8.93,-9.33,-9.76,-8.28,-9.87,-11.2,-9.62,-9.26,-11.44,-10.35,-10.04,-10.15,-11.35,-9.43,-9.92,-10.42,-8.96,-9.71,-10.42,-9.79,-9.04,-11.38,-10.75,-11.13,-10.1
